CMDLINE uvicorn fastapi_app:app
MEM 184.273438 1768699379.5109
MEM 184.273438 1768699379.6160
MEM 184.273438 1768699379.7244
MEM 184.273438 1768699379.8298
MEM 184.273438 1768699379.9350
MEM 184.273438 1768699380.0439
MEM 184.273438 1768699380.1512
MEM 184.273438 1768699380.2575
MEM 184.332031 1768699380.3653
MEM 184.332031 1768699380.4725
MEM 184.332031 1768699380.5782
MEM 184.332031 1768699380.6857
MEM 184.332031 1768699380.7909
MEM 184.332031 1768699380.8960
MEM 184.332031 1768699381.0024
MEM 184.332031 1768699381.1083
MEM 184.332031 1768699381.2151
MEM 184.332031 1768699381.3243
MEM 184.332031 1768699381.4318
MEM 184.332031 1768699381.5423
MEM 184.332031 1768699381.6526
MEM 184.414062 1768699381.7613
MEM 184.414062 1768699381.8710
MEM 184.414062 1768699381.9803
MEM 184.414062 1768699382.0881
MEM 184.414062 1768699382.1977
MEM 184.414062 1768699382.3078
MEM 184.417969 1768699382.4134
MEM 184.417969 1768699382.5205
MEM 184.417969 1768699382.6261
MEM 184.417969 1768699382.7312
MEM 184.417969 1768699382.8364
MEM 184.417969 1768699382.9415
MEM 184.417969 1768699383.0528
MEM 184.417969 1768699383.1616
MEM 184.437500 1768699383.2703
MEM 184.437500 1768699383.3795
MEM 184.437500 1768699383.4845
MEM 184.437500 1768699383.5899
MEM 184.437500 1768699383.6956
MEM 184.437500 1768699383.8030
MEM 184.589844 1768699383.9089
MEM 184.589844 1768699384.0136
MEM 184.589844 1768699384.1191
MEM 184.589844 1768699384.2251
MEM 184.589844 1768699384.3312
MEM 184.589844 1768699384.4396
MEM 184.589844 1768699384.5447
MEM 184.589844 1768699384.6511
MEM 184.589844 1768699384.7579
MEM 184.589844 1768699384.8643
MEM 184.589844 1768699384.9703
MEM 184.589844 1768699385.0761
MEM 184.589844 1768699385.1854
MEM 184.589844 1768699385.2912
MEM 184.589844 1768699385.3965
MEM 184.589844 1768699385.5061
MEM 184.589844 1768699385.6114
MEM 184.589844 1768699385.7175
MEM 184.589844 1768699385.8232
MEM 184.589844 1768699385.9292
MEM 184.589844 1768699386.0348
MEM 184.589844 1768699386.1409
MEM 184.589844 1768699386.2460
MEM 184.589844 1768699386.3512
MEM 184.589844 1768699386.4583
MEM 184.589844 1768699386.5636
MEM 184.589844 1768699386.6700
MEM 184.589844 1768699386.7748
MEM 184.589844 1768699386.8797
MEM 185.894531 1768699386.9866
MEM 180.945312 1768699387.0934
MEM 180.945312 1768699387.2019
MEM 180.949219 1768699387.3096
MEM 180.968750 1768699387.4139
MEM 180.996094 1768699387.5196
MEM 180.996094 1768699387.6265
MEM 180.929688 1768699387.7355
MEM 182.574219 1768699387.8429
MEM 182.628906 1768699387.9512
MEM 182.628906 1768699388.0594
MEM 182.628906 1768699388.1645
MEM 182.628906 1768699388.2717
MEM 182.628906 1768699388.3775
MEM 182.628906 1768699388.4836
MEM 182.628906 1768699388.5903
MEM 182.628906 1768699388.6955
MEM 182.628906 1768699388.8055
MEM 182.628906 1768699388.9107
MEM 182.628906 1768699389.0167
MEM 182.628906 1768699389.1222
MEM 182.628906 1768699389.2290
MEM 182.628906 1768699389.3358
MEM 182.628906 1768699389.4420
MEM 182.628906 1768699389.5520
MEM 182.628906 1768699389.6601
MEM 182.628906 1768699389.7661
MEM 182.628906 1768699389.8730
MEM 182.628906 1768699389.9782
MEM 182.628906 1768699390.0831
MEM 182.628906 1768699390.1899
MEM 182.628906 1768699390.2951
MEM 182.628906 1768699390.4001
MEM 182.628906 1768699390.5058
MEM 182.628906 1768699390.6107
MEM 182.628906 1768699390.7158
MEM 182.628906 1768699390.8216
MEM 182.628906 1768699390.9269
MEM 182.628906 1768699391.0334
MEM 182.628906 1768699391.1392
MEM 182.628906 1768699391.2456
MEM 182.628906 1768699391.3529
MEM 182.628906 1768699391.4575
MEM 182.628906 1768699391.5635
MEM 182.628906 1768699391.6701
MEM 182.628906 1768699391.7749
MEM 182.664062 1768699391.8823
MEM 182.664062 1768699391.9897
MEM 182.664062 1768699392.0986
MEM 182.683594 1768699392.2086
MEM 182.718750 1768699392.3160
MEM 182.718750 1768699392.4227
MEM 182.718750 1768699392.5303
MEM 182.718750 1768699392.6356
MEM 182.718750 1768699392.7409
MEM 182.718750 1768699392.8474
MEM 182.722656 1768699392.9550
MEM 182.722656 1768699393.0602
MEM 182.722656 1768699393.1657
MEM 182.722656 1768699393.2703
MEM 182.722656 1768699393.3752
MEM 182.722656 1768699393.4823
MEM 182.722656 1768699393.5910
MEM 182.671875 1768699393.6971
MEM 182.671875 1768699393.8048
MEM 182.671875 1768699393.9101
MEM 182.707031 1768699394.0178
MEM 182.707031 1768699394.1255
MEM 182.707031 1768699394.2313
MEM 182.707031 1768699394.3377
MEM 182.707031 1768699394.4448
MEM 182.707031 1768699394.5536
MEM 182.707031 1768699394.6590
MEM 182.707031 1768699394.7685
MEM 182.707031 1768699394.8744
MEM 182.707031 1768699394.9808
MEM 182.707031 1768699395.0869
MEM 182.707031 1768699395.1946
MEM 182.707031 1768699395.3053
MEM 182.707031 1768699395.4103
MEM 182.707031 1768699395.5154
MEM 182.761719 1768699395.6256
MEM 182.777344 1768699395.7356
MEM 182.777344 1768699395.8428
MEM 182.886719 1768699395.9497
MEM 182.886719 1768699396.0566
MEM 182.886719 1768699396.1621
MEM 182.886719 1768699396.2698
MEM 182.886719 1768699396.3756
MEM 182.886719 1768699396.4803
MEM 182.886719 1768699396.5900
MEM 182.886719 1768699396.6964
MEM 182.886719 1768699396.8025
MEM 182.886719 1768699396.9101
MEM 182.886719 1768699397.0154
MEM 182.886719 1768699397.1200
MEM 182.886719 1768699397.2246
MEM 182.886719 1768699397.3293
MEM 182.886719 1768699397.4342
MEM 182.886719 1768699397.5385
MEM 182.886719 1768699397.6430
MEM 182.886719 1768699397.7478
MEM 182.886719 1768699397.8524
MEM 182.886719 1768699397.9567
MEM 182.886719 1768699398.0614
MEM 182.886719 1768699398.1659
